GPU,Datetime,Input Voltage L1 (V),Input Voltage L2 (V),Input Voltage L3 (V),Input Voltage THD L1 (%),Input Voltage THD L2 (%),Input Voltage THD L3 (%),Input Frequency (Hz),Input Current L1 (A),Input Current L2 (A),Input Current L3 (A),Input Current THD L1 (%),Input Current THD L2 (%),Input Current THD L3 (%),Input Percent Load Total (%),Input Percent Load L1 (%),Input Percent Load L2 (%),Input Percent Load L3 (%),Input Crest Factor L1,Input Crest Factor L2,Input Crest Factor L3,Input Active Power Total (W),Input Active Power L1 (W),Input Active Power L2 (W),Input Active Power L3 (W),Input Apparent Power Total (VA),Input Apparent Power L1 (VA),Input Apparent Power L2 (VA),Input Apparent Power L3 (VA),Input Reactive Power total (VAR),Input Reactive Power L1 (VAR),Input Reactive Power L2 (VAR),Input Reactive Power L3 (VAR),Input Power Factor Total,Input Power Factor L1,Input Power Factor L2,Input Power Factor L3,Input Partial Energy Total (Wh),Input Partial Energy L1 (Wh),Input Partial Energy L2 (Wh),Input Partial Energy L3 (Wh),Input Cumulated Energy Total (Wh),Input Cumulated Energy L1 (Wh),Input Cumulated Energy L2 (Wh),Input Cumulated Energy L3 (Wh),Neutral Input Current (A)
101_K37_Voie2,2025-12-03T10:50:24.000000+00:00,231.4,229.7,230.3,2.0,2.1,2.2,50.0,0.9,2.8,2.9,29.7,7.1,8.0,6.8,2.7,8.8,9.0,1.9,1.5,1.6,1457.8,164.8,639.1,653.8,1481.7,199.7,647.0,660.4,-265.2,-96.9,-88.5,-79.8,1.0,0.8,1.0,1.0,11351841.0,1364900.1,4973134.0,5013806.0,11351841.0,1364900.1,4973134.0,5013806.0,2.1
101_K37_Voie2,2025-12-03T10:55:24.000000+00:00,231.6,228.8,230.5,2.3,1.6,2.4,50.0,0.9,5.6,2.9,29.3,12.0,7.6,9.7,2.7,17.6,8.9,1.9,1.6,1.6,2095.9,164.6,1279.8,651.5,2114.7,199.4,1206.9,658.3,-281.6,-96.5,-104.1,-81.0,1.0,0.8,1.0,1.0,11351966.0,1364913.1,4973187.0,5013865.0,11351966.0,1364913.1,4973187.0,5013865.0,4.2
101_K37_Voie2,2025-12-03T11:00:24.000000+00:00,231.5,229.7,230.3,2.2,1.9,2.2,50.0,0.9,2.8,2.8,29.5,7.9,7.0,6.8,2.7,8.8,8.8,1.9,1.5,1.6,1444.9,165.1,639.0,640.9,1468.7,199.5,642.5,648.2,-263.5,-96.9,-87.1,-79.5,1.0,0.8,1.0,1.0,11352118.0,1364927.1,4973264.0,5013926.0,11352118.0,1364927.1,4973264.0,5013926.0,2.1
101_K37_Voie2,2025-12-03T11:05:24.000000+00:00,231.5,229.7,230.4,2.2,1.7,2.3,50.0,0.9,2.8,2.8,29.4,6.9,8.7,6.8,2.7,8.9,8.8,1.9,1.5,1.6,1450.3,165.7,645.4,639.2,1474.2,199.6,653.0,648.0,-264.5,-96.7,-87.2,-80.6,1.0,0.8,1.0,1.0,11352242.0,1364941.1,4973317.0,5013983.0,11352242.0,1364941.1,4973317.0,5013983.0,2.1
101_L37_Voie1,2025-12-03T09:55:29.000000+00:00,230.7,228.3,228.4,2.1,2.1,2.3,50.0,0.7,2.9,2.3,31.4,16.9,8.1,6.2,2.3,9.1,7.2,1.8,1.6,1.6,1309.8,137.2,653.2,519.4,1336.8,172.6,671.8,527.4,-267.1,-89.4,-96.1,-81.6,1.0,0.8,1.0,1.0,11189304.0,1150247.0,5247573.0,4791483.0,11189304.0,1150247.0,5247573.0,4791483.0,2.0
101_L37_Voie1,2025-12-03T10:00:29.000000+00:00,230.6,228.4,228.5,2.0,2.1,2.0,50.0,0.7,2.9,2.3,31.9,8.5,8.3,6.2,2.3,9.0,7.3,1.8,1.6,1.6,1313.0,137.4,648.6,527.0,1339.6,171.8,664.5,535.8,-266.0,-90.0,-93.9,-82.1,1.0,0.8,1.0,1.0,11189421.0,1150258.0,5247636.0,4791526.0,11189421.0,1150258.0,5247636.0,4791526.0,2.0
101_L37_Voie1,2025-12-03T10:05:29.000000+00:00,230.7,228.0,228.6,2.0,1.9,2.4,50.0,0.7,4.4,2.3,31.7,16.0,7.4,7.8,2.3,13.8,7.2,1.8,1.5,1.6,1659.2,138.2,1003.1,518.0,1680.1,172.5,1003.7,526.6,-264.2,-88.5,-92.8,-82.9,1.0,0.8,1.0,1.0,11189539.0,1150270.0,5247699.0,4791569.0,11189539.0,1150270.0,5247699.0,4791569.0,3.2
101_L37_Voie1,2025-12-03T10:10:30.000000+00:00,230.6,228.4,228.5,2.3,2.1,2.1,50.0,0.7,2.9,2.3,31.9,9.8,8.6,6.2,2.3,9.1,7.3,1.8,1.6,1.6,1314.3,137.9,652.5,523.9,1341.0,172.8,663.0,532.1,-266.1,-89.5,-94.6,-82.0,1.0,0.8,1.0,1.0,11189651.0,1150281.0,5247757.0,4791612.0,11189651.0,1150281.0,5247757.0,4791612.0,2.0
101_L37_Voie1,2025-12-03T10:15:30.000000+00:00,230.6,228.4,228.4,2.0,2.1,2.2,50.0,0.7,2.9,2.4,31.5,9.1,7.9,6.2,2.3,9.0,7.4,1.8,1.5,1.6,1319.6,137.9,649.0,532.7,1346.6,172.9,658.6,540.8,-268.0,-89.6,-95.2,-83.1,1.0,0.8,1.0,1.0,11189763.0,1150293.0,5247814.0,4791655.0,11189763.0,1150293.0,5247814.0,4791655.0,2.0
101_L37_Voie1,2025-12-03T10:20:30.000000+00:00,230.6,228.2,228.5,1.7,2.4,1.8,50.0,0.8,3.1,2.4,31.6,9.8,7.5,6.5,2.4,9.6,7.4,1.8,1.6,1.6,1369.1,140.1,694.9,534.1,1395.5,174.6,704.4,542.3,-270.0,-89.9,-98.1,-82.0,1.0,0.8,1.0,1.0,11189877.0,1150305.0,5247873.0,4791698.0,11189877.0,1150305.0,5247873.0,4791698.0,2.1
101_L37_Voie1,2025-12-03T10:25:30.000000+00:00,230.6,228.4,228.5,2.2,2.0,2.3,50.0,0.8,2.9,2.3,31.5,8.6,8.5,6.2,2.4,9.1,7.3,1.8,1.6,1.6,1315.4,139.9,652.1,523.4,1342.0,175.0,661.6,531.9,-265.7,-89.6,-94.3,-81.8,1.0,0.8,1.0,1.0,11189988.0,1150316.0,5247930.0,4791741.0,11189988.0,1150316.0,5247930.0,4791741.0,2.0
101_L37_Voie1,2025-12-03T10:30:30.000000+00:00,230.6,228.3,228.5,2.1,2.0,2.3,50.0,0.8,2.9,2.3,31.0,12.5,7.7,6.2,2.4,9.1,7.2,1.8,1.5,1.6,1312.5,141.6,652.6,518.4,1339.4,176.0,662.0,526.7,-266.9,-89.8,-94.9,-82.1,1.0,0.8,1.0,1.0,11190105.0,1150328.0,5247991.0,4791785.0,11190105.0,1150328.0,5247991.0,4791785.0,2.0
101_L37_Voie1,2025-12-03T10:35:30.000000+00:00,230.6,228.3,228.5,2.1,2.2,2.1,50.0,0.8,3.0,2.3,31.3,12.9,7.6,6.2,2.4,9.2,7.2,1.8,1.6,1.6,1319.6,139.9,664.9,514.7,1346.5,174.7,674.4,524.3,-268.0,-90.0,-96.5,-81.5,1.0,0.8,1.0,1.0,11190220.0,1150340.0,5248051.0,4791828.0,11190220.0,1150340.0,5248051.0,4791828.0,2.0
101_L37_Voie1,2025-12-03T10:40:30.000000+00:00,230.7,228.4,228.5,2.2,1.9,2.3,50.0,0.8,2.9,2.3,31.4,8.6,7.7,6.2,2.4,9.0,7.2,1.8,1.6,1.6,1307.9,142.2,650.7,514.9,1334.9,176.2,660.3,526.7,-267.2,-90.3,-94.9,-82.1,1.0,0.8,1.0,1.0,11190337.0,1150352.0,5248112.0,4791872.0,11190337.0,1150352.0,5248112.0,4791872.0,2.0
101_L37_Voie1,2025-12-03T10:45:30.000000+00:00,230.6,228.4,228.5,2.0,2.2,2.2,50.0,0.8,2.9,2.3,30.8,9.5,8.5,6.2,2.4,9.1,7.2,1.8,1.6,1.6,1313.3,142.1,654.7,516.6,1340.4,176.6,662.6,529.9,-267.8,-90.4,-95.6,-81.8,1.0,0.8,1.0,1.0,11190449.0,1150363.0,5248171.0,4791914.0,11190449.0,1150363.0,5248171.0,4791914.0,2.0
101_L37_Voie1,2025-12-03T10:50:30.000000+00:00,230.6,228.3,228.5,2.0,2.0,2.1,50.0,0.8,2.9,2.3,31.4,9.8,7.2,6.2,2.4,8.9,7.3,1.8,1.6,1.6,1310.8,142.0,643.7,525.0,1337.5,176.6,654.1,533.2,-266.0,-90.0,-94.0,-82.0,1.0,0.8,1.0,1.0,11190562.0,1150375.0,5248229.0,4791957.0,11190562.0,1150375.0,5248229.0,4791957.0,1.9
101_L37_Voie1,2025-12-03T10:55:30.000000+00:00,230.7,228.4,228.5,2.0,1.7,2.4,50.0,0.8,2.9,2.3,30.9,9.6,8.6,6.3,2.4,9.1,7.3,1.8,1.6,1.6,1321.5,142.6,651.7,527.2,1348.6,177.1,661.2,535.5,-268.8,-90.6,-95.5,-82.7,1.0,0.8,1.0,1.0,11190682.0,1150387.0,5248293.0,4792001.0,11190682.0,1150387.0,5248293.0,4792001.0,2.0
101_L37_Voie1,2025-12-03T11:00:30.000000+00:00,230.6,228.3,228.5,2.1,2.2,2.1,50.0,0.8,2.9,2.3,31.2,9.2,8.0,6.2,2.4,9.0,7.1,1.8,1.6,1.6,1306.2,142.4,650.9,512.9,1333.1,176.9,660.7,521.2,-266.7,-90.6,-94.6,-81.5,1.0,0.8,1.0,1.0,11190794.0,1150399.0,5248350.0,4792044.0,11190794.0,1150399.0,5248350.0,4792044.0,2.0
101_L37_Voie1,2025-12-03T11:05:30.000000+00:00,230.6,228.3,228.6,2.1,1.7,2.1,50.0,0.8,2.9,2.3,31.2,8.6,8.7,6.2,2.4,9.1,7.2,1.8,1.6,1.6,1313.4,142.3,655.6,515.5,1340.1,177.0,665.0,523.2,-266.2,-90.4,-95.2,-80.6,1.0,0.8,1.0,1.0,11190909.0,1150410.0,5248410.0,4792088.0,11190909.0,1150410.0,5248410.0,4792088.0,2.0
101_L37_Voie2,2025-12-03T09:50:36.000000+00:00,231.8,229.9,230.8,1.9,2.5,2.0,50.0,0.9,2.9,2.3,30.2,9.2,7.5,6.2,2.7,9.0,7.1,1.9,1.6,1.6,1329.1,163.8,648.8,516.5,1358.7,198.0,657.4,524.4,-282.2,-94.0,-105.6,-82.5,1.0,0.8,1.0,1.0,11482249.0,1402737.1,5262549.0,4816962.0,11482249.0,1402737.1,5262549.0,4816962.0,1.8
101_L37_Voie2,2025-12-03T09:55:36.000000+00:00,232.0,230.0,230.8,2.0,2.4,2.1,50.0,0.9,2.9,2.3,29.9,9.7,6.8,6.2,2.7,9.0,7.0,1.9,1.6,1.6,1327.0,164.2,650.9,511.9,1356.4,198.1,662.0,519.8,-281.3,-94.6,-104.4,-82.3,1.0,0.8,1.0,1.0,11482372.0,1402751.1,5262616.0,4817004.0,11482372.0,1402751.1,5262616.0,4817004.0,4.1
101_L37_Voie2,2025-12-03T10:00:36.000000+00:00,231.8,230.0,230.8,2.2,2.1,2.2,50.0,0.9,2.9,2.3,30.3,9.3,7.0,6.3,2.7,9.0,7.1,1.9,1.6,1.6,1331.9,163.7,653.9,514.2,1361.3,197.9,664.0,521.5,-281.3,-94.4,-104.7,-82.2,1.0,0.8,1.0,1.0,11482490.0,1402764.1,5262678.0,4817047.0,11482490.0,1402764.1,5262678.0,4817047.0,1.8
101_L37_Voie2,2025-12-03T10:05:36.000000+00:00,231.9,230.0,230.7,2.4,1.4,2.5,50.0,0.9,2.8,2.3,29.8,9.3,7.1,6.2,2.7,8.8,7.1,1.9,1.6,1.6,1315.4,164.0,637.4,514.0,1344.9,197.7,648.4,521.9,-279.9,-94.4,-103.0,-82.4,1.0,0.8,1.0,1.0,11482609.0,1402778.1,5262740.0,4817090.0,11482609.0,1402778.1,5262740.0,4817090.0,1.8
101_L37_Voie2,2025-12-03T10:10:36.000000+00:00,231.9,230.0,230.7,2.3,2.1,2.1,50.0,0.9,2.8,2.2,29.9,10.4,6.4,6.2,2.7,8.8,7.0,1.9,1.6,1.6,1313.5,163.8,638.8,510.8,1343.2,197.6,650.0,518.9,-280.9,-94.4,-103.8,-82.8,1.0,0.8,1.0,1.0,11482725.0,1402791.1,5262800.0,4817133.0,11482725.0,1402791.1,5262800.0,4817133.0,1.8
101_L37_Voie2,2025-12-03T10:15:36.000000+00:00,231.8,230.0,230.8,1.9,2.4,2.1,50.0,0.9,2.8,2.3,29.9,9.9,7.3,6.2,2.7,8.8,7.1,1.8,1.6,1.6,1319.1,164.6,635.4,519.1,1348.4,198.0,644.9,527.0,-279.5,-94.4,-102.5,-82.6,1.0,0.8,1.0,1.0,11482840.0,1402805.1,5262858.0,4817176.0,11482840.0,1402805.1,5262858.0,4817176.0,1.8
101_L37_Voie2,2025-12-03T10:20:36.000000+00:00,231.9,230.0,230.8,2.1,2.3,2.0,49.9,0.9,2.8,2.2,29.8,9.5,6.3,6.2,2.7,8.8,7.0,2.0,1.6,1.6,1311.1,167.0,633.1,511.0,1340.5,199.8,644.0,518.9,-279.3,-95.0,-102.0,-82.2,1.0,0.8,1.0,1.0,11482952.0,1402819.1,5262914.0,4817218.0,11482952.0,1402819.1,5262914.0,4817218.0,1.8
101_L37_Voie2,2025-12-03T10:25:36.000000+00:00,231.8,230.0,230.7,2.1,1.6,2.4,50.0,0.9,2.8,2.3,29.6,9.9,7.8,6.2,2.7,8.8,7.1,1.8,1.6,1.6,1317.4,165.9,633.8,517.7,1346.8,199.3,645.1,525.8,-279.9,-94.2,-102.1,-83.6,1.0,0.8,1.0,1.0,11483066.0,1402833.1,5262970.0,4817262.0,11483066.0,1402833.1,5262970.0,4817262.0,1.8
101_L37_Voie2,2025-12-03T10:30:36.000000+00:00,231.8,230.0,230.7,2.0,2.2,2.1,50.0,0.9,2.9,2.3,29.6,11.4,7.2,6.3,2.7,9.0,7.1,1.9,1.6,1.6,1333.6,166.0,648.9,518.7,1362.9,199.7,660.5,528.2,-281.1,-94.5,-103.7,-82.8,1.0,0.8,1.0,1.0,11483184.0,1402847.1,5263031.0,4817305.0,11483184.0,1402847.1,5263031.0,4817305.0,1.8
101_L37_Voie2,2025-12-03T10:35:36.000000+00:00,231.9,230.1,230.7,1.9,2.1,2.0,50.0,0.9,2.8,2.3,29.9,8.3,7.3,6.2,2.7,8.9,7.1,1.9,1.6,1.6,1323.1,168.1,641.9,513.1,1352.6,201.4,653.1,525.8,-281.1,-95.4,-103.5,-82.3,1.0,0.8,1.0,1.0,11483296.0,1402860.1,5263087.0,4817348.0,11483296.0,1402860.1,5263087.0,4817348.0,1.9
101_L37_Voie2,2025-12-03T10:40:36.000000+00:00,231.8,230.0,230.7,2.0,2.2,2.2,50.0,0.9,2.8,2.3,29.2,9.0,7.1,6.2,2.7,8.8,7.1,1.9,1.6,1.6,1320.4,167.5,637.1,515.8,1349.9,201.1,648.1,523.7,-280.8,-95.0,-103.3,-82.4,1.0,0.8,1.0,1.0,11483416.0,1402875.1,5263149.0,4817391.0,11483416.0,1402875.1,5263149.0,4817391.0,1.8
101_L37_Voie2,2025-12-03T10:45:36.000000+00:00,231.8,230.0,230.8,2.0,2.0,1.9,50.0,0.9,2.8,2.3,29.8,11.4,6.1,6.2,2.7,8.8,7.1,1.8,1.6,1.6,1320.3,167.5,639.0,513.8,1350.1,201.2,650.1,522.0,-281.9,-95.0,-103.4,-83.5,1.0,0.8,1.0,1.0,11483530.0,1402888.1,5263207.0,4817434.0,11483530.0,1402888.1,5263207.0,4817434.0,1.8
101_L37_Voie2,2025-12-03T10:50:36.000000+00:00,231.8,230.0,230.8,2.2,1.8,2.3,50.0,0.9,2.8,2.3,29.4,9.8,7.8,6.2,2.7,8.9,7.1,1.8,1.6,1.6,1324.3,168.3,641.4,514.6,1353.8,201.8,647.7,522.7,-281.1,-94.6,-102.8,-83.7,1.0,0.8,1.0,1.0,11483647.0,1402903.1,5263266.0,4817477.0,11483647.0,1402903.1,5263266.0,4817477.0,1.8
101_L37_Voie2,2025-12-03T10:55:36.000000+00:00,231.8,229.9,230.8,2.1,2.3,1.9,50.0,0.9,2.8,2.3,29.6,8.6,7.2,6.2,2.7,8.8,7.1,1.9,1.6,1.6,1321.5,167.8,635.1,518.5,1351.0,201.5,646.2,521.5,-281.1,-95.5,-102.8,-82.8,1.0,0.8,1.0,1.0,11483765.0,1402917.1,5263327.0,4817520.0,11483765.0,1402917.1,5263327.0,4817520.0,1.8
101_L37_Voie2,2025-12-03T11:00:36.000000+00:00,231.9,230.1,230.7,2.2,2.1,2.3,50.0,0.9,2.8,2.3,29.6,12.0,7.4,6.2,2.7,8.8,7.1,1.8,1.6,1.6,1320.8,168.5,639.7,512.7,1350.4,202.1,650.6,520.7,-281.0,-95.1,-102.8,-83.0,1.0,0.8,1.0,1.0,11483878.0,1402930.1,5263384.0,4817563.0,11483878.0,1402930.1,5263384.0,4817563.0,1.8
